2023-05-14 00:05:506 INFO  LoginPage :41 - Enter Username : standard_user
2023-05-14 02:05:32 INFO  ProductPage :44 - Get product per page : [[[ChromeDriver: chrome on WINDOWS (1cfabdd211ca5edb6fc92adeda1a7022)] -> xpath: //div[@class='inventory_item_label']], [[ChromeDriver: chrome on WINDOWS (1cfabdd211ca5edb6fc92adeda1a7022)] -> xpath: //div[@class='inventory_item_label']], [[ChromeDriver: chrome on WINDOWS (1cfabdd211ca5edb6fc92adeda1a7022)] -> xpath: //div[@class='inventory_item_label']], [[ChromeDriver: chrome on WINDOWS (1cfabdd211ca5edb6fc92adeda1a7022)] -> xpath: //div[@class='inventory_item_label']], [[ChromeDriver: chrome on WINDOWS (1cfabdd211ca5edb6fc92adeda1a7022)] -> xpath: //div[@class='inventory_item_label']], [[ChromeDriver: chrome on WINDOWS (1cfabdd211ca5edb6fc92adeda1a7022)] -> xpath: //div[@class='inventory_item_label']]]
2023-05-14 02:05:39 INFO  ProductPage :50 - Verify six product are displayed: 6
2023-05-14 02:05:471 INFO  LoginPage :41 - Enter Username : standard_user
2023-05-14 02:05:660 INFO  LoginPage :47 - Enter Password : secret_sauce
2023-05-14 02:05:911 INFO  LoginPage :52 - Click on Login button [[ChromeDriver: chrome on WINDOWS (b1fa9bd31e8ac7d141be2b70c8e776c6)] -> id: login-button]
2023-05-14 02:05:973 INFO  ProductPage :33 - Get Product text : [[ChromeDriver: chrome on WINDOWS (b1fa9bd31e8ac7d141be2b70c8e776c6)] -> xpath: //span[@class='title']]
2023-05-14 15:05:357 INFO  LoginPage :35 - Enter Username : standard_user
2023-05-14 15:05:448 INFO  LoginPage :41 - Enter Password : secret_sauce
2023-05-14 15:05:582 INFO  LoginPage :46 - Click on Login button [[ChromeDriver: chrome on WINDOWS (7e5f1b3d08050a6bf8496854c4da3844)] -> id: login-button]
2023-05-14 15:05:619 INFO  ProductPage :33 - Get Product text : [[ChromeDriver: chrome on WINDOWS (7e5f1b3d08050a6bf8496854c4da3844)] -> xpath: //span[@class='title']]
2023-05-14 15:05:508 INFO  LoginPage :35 - Enter Username : standard_user
2023-05-14 15:05:594 INFO  LoginPage :41 - Enter Password : secret_sauce
2023-05-14 15:05:722 INFO  LoginPage :46 - Click on Login button [[ChromeDriver: chrome on WINDOWS (4da8c08613183fd2b996534215fb1bae)] -> id: login-button]
2023-05-14 15:05:752 INFO  ProductPage :33 - Get Product text : [[ChromeDriver: chrome on WINDOWS (4da8c08613183fd2b996534215fb1bae)] -> xpath: //span[@class='title']]
